Kod,Date,Value
414000,2004,1.64
415000,2004,1.64
416000,2004,1.64
417000,2004,1.64
418000,2004,1.64
419000,2004,1.64
461000,2004,1.64
462000,2004,1.64
463000,2004,1.64
464000,2004,1.64
601000,2004,1.63
602000,2004,1.63
603000,2004,1.63
604000,2004,1.63
605000,2004,1.63
606000,2004,1.63
607000,2004,1.63
608000,2004,1.63
609000,2004,1.63
610000,2004,1.63
611000,2004,1.63
612000,2004,1.63
613000,2004,1.63
614000,2004,1.63
615000,2004,1.63
616000,2004,1.63
617000,2004,1.63
618000,2004,1.63
619000,2004,1.63
620000,2004,1.63
661000,2004,1.63
662000,2004,1.63
663000,2004,1.63
664000,2004,1.63
801000,2004,1.64
802000,2004,1.64
803000,2004,1.64
804000,2004,1.64
805000,2004,1.64
806000,2004,1.64
807000,2004,1.64
808000,2004,1.64
809000,2004,1.64
810000,2004,1.64
811000,2004,1.64
812000,2004,1.64
861000,2004,1.64
862000,2004,1.64
1001000,2004,1.51
1002000,2004,1.51
1003000,2004,1.51
1004000,2004,1.51
1005000,2004,1.51
1006000,2004,1.51
1007000,2004,1.51
1008000,2004,1.51
1009000,2004,1.51
1010000,2004,1.51
1011000,2004,1.51
1012000,2004,1.51
1013000,2004,1.51
1014000,2004,1.51
1015000,2004,1.51
1016000,2004,1.51
1017000,2004,1.51
1018000,2004,1.51
1019000,2004,1.51
1020000,2004,1.51
1021000,2004,1.51
1061000,2004,1.51
1062000,2004,1.51
1063000,2004,1.51
1201000,2004,1.41
1202000,2004,1.41
1203000,2004,1.41
1204000,2004,1.41
1205000,2004,1.41
1206000,2004,1.41
1207000,2004,1.41
1208000,2004,1.41
1209000,2004,1.41
1210000,2004,1.41
1211000,2004,1.41
1212000,2004,1.41
1213000,2004,1.41
1214000,2004,1.41
1215000,2004,1.41
1216000,2004,1.41
1217000,2004,1.41
1218000,2004,1.41
1219000,2004,1.41
1261000,2004,1.41
1262000,2004,1.41
1263000,2004,1.41
1401000,2004,1.5
1402000,2004,1.5
1403000,2004,1.5
