Kod,Date,Value
1423000,2003,5.75
1424000,2003,5.75
1425000,2003,5.75
1426000,2003,5.75
1427000,2003,5.75
1428000,2003,5.75
1429000,2003,5.75
1430000,2003,5.75
1432000,2003,5.75
1433000,2003,5.75
1434000,2003,5.75
1435000,2003,5.75
1436000,2003,5.75
1437000,2003,5.75
1438000,2003,5.75
1461000,2003,5.75
1462000,2003,5.75
1463000,2003,5.75
1464000,2003,5.75
1465000,2003,5.75
1601000,2003,5.38
1602000,2003,5.38
1603000,2003,5.38
1604000,2003,5.38
1605000,2003,5.38
1606000,2003,5.38
1607000,2003,5.38
1608000,2003,5.38
1609000,2003,5.38
1610000,2003,5.38
1611000,2003,5.38
1661000,2003,5.38
1801000,2003,4.56
1802000,2003,4.56
1803000,2003,4.56
1804000,2003,4.56
1805000,2003,4.56
1806000,2003,4.56
1807000,2003,4.56
1808000,2003,4.56
1809000,2003,4.56
1810000,2003,4.56
1811000,2003,4.56
1812000,2003,4.56
1813000,2003,4.56
1814000,2003,4.56
1815000,2003,4.56
1816000,2003,4.56
1817000,2003,4.56
1818000,2003,4.56
1819000,2003,4.56
1820000,2003,4.56
1821000,2003,4.56
1861000,2003,4.56
1862000,2003,4.56
1863000,2003,4.56
1864000,2003,4.56
2001000,2003,6.58
2002000,2003,6.58
2003000,2003,6.58
2004000,2003,6.58
2005000,2003,6.58
2006000,2003,6.58
2007000,2003,6.58
2008000,2003,6.58
2009000,2003,6.58
2010000,2003,6.58
2011000,2003,6.58
2012000,2003,6.58
2013000,2003,6.58
2014000,2003,6.58
2061000,2003,6.58
2062000,2003,6.58
2063000,2003,6.58
2201000,2003,5.37
2202000,2003,5.37
2203000,2003,5.37
2204000,2003,5.37
2205000,2003,5.37
2206000,2003,5.37
2207000,2003,5.37
2208000,2003,5.37
2209000,2003,5.37
2210000,2003,5.37
2211000,2003,5.37
2212000,2003,5.37
2213000,2003,5.37
2214000,2003,5.37
2215000,2003,5.37
2216000,2003,5.37
2261000,2003,5.37
2262000,2003,5.37
2263000,2003,5.37
2264000,2003,5.37
2401000,2003,5.54
2402000,2003,5.54
2403000,2003,5.54
2404000,2003,5.54
2405000,2003,5.54
2406000,2003,5.54
2407000,2003,5.54
2408000,2003,5.54
2409000,2003,5.54
