,Kod,Date,Value
233,2063000,2002,161.0
234,2201000,2002,229.0
235,2202000,2002,331.0
236,2203000,2002,172.0
237,2204000,2002,198.0
238,2205000,2002,317.0
239,2206000,2002,252.0
240,2207000,2002,287.0
241,2208000,2002,209.0
242,2209000,2002,264.0
243,2210000,2002,150.0
244,2211000,2002,237.0
245,2212000,2002,284.0
246,2213000,2002,452.0
247,2214000,2002,495.0
248,2215000,2002,515.0
249,2216000,2002,180.0
250,2261000,2002,1745.0
251,2262000,2002,957.0
252,2263000,2002,311.0
253,2264000,2002,238.0
254,2401000,2002,853.0
255,2402000,2002,687.0
256,2403000,2002,819.0
257,2404000,2002,830.0
258,2405000,2002,485.0
259,2406000,2002,446.0
260,2407000,2002,355.0
261,2408000,2002,411.0
262,2409000,2002,442.0
263,2410000,2002,403.0
264,2411000,2002,436.0
265,2412000,2002,331.0
266,2413000,2002,624.0
267,2414000,2002,193.0
268,2415000,2002,610.0
269,2416000,2002,775.0
270,2417000,2002,885.0
271,2461000,2002,823.0
272,2462000,2002,847.0
273,2463000,2002,728.0
274,2464000,2002,1287.0
275,2465000,2002,574.0
276,2466000,2002,781.0
277,2467000,2002,243.0
278,2468000,2002,468.0
279,2469000,2002,1601.0
280,2470000,2002,289.0
281,2471000,2002,328.0
282,2472000,2002,704.0
283,2473000,2002,547.0
284,2474000,2002,367.0
285,2475000,2002,1097.0
286,2476000,2002,329.0
287,2477000,2002,438.0
288,2478000,2002,725.0
289,2479000,2002,118.0
290,2601000,2002,397.0
291,2602000,2002,563.0
292,2603000,2002,241.0
293,2604000,2002,830.0
294,2605000,2002,492.0
295,2606000,2002,350.0
296,2607000,2002,674.0
297,2608000,2002,279.0
298,2609000,2002,427.0
299,2610000,2002,403.0
300,2611000,2002,482.0
301,2612000,2002,421.0
302,2613000,2002,299.0
303,2661000,2002,787.0
304,2801000,2002,165.0
305,2802000,2002,136.0
306,2803000,2002,236.0
307,2804000,2002,178.0
308,2805000,2002,249.0
309,2806000,2002,202.0
310,2807000,2002,275.0
311,2808000,2002,296.0
312,2809000,2002,165.0
313,2810000,2002,144.0
314,2811000,2002,109.0
315,2812000,2002,191.0
316,2813000,2002,137.0
317,2814000,2002,341.0
318,2815000,2002,316.0
319,2816000,2002,168.0
320,2817000,2002,199.0
321,2818000,2002,70.0
322,2819000,2002,86.0
323,2861000,2002,356.0
324,2862000,2002,366.0
325,3001000,2002,146.0
326,3002000,2002,209.0
327,3003000,2002,492.0
328,3004000,2002,349.0
329,3005000,2002,240.0
330,3006000,2002,324.0
331,3007000,2002,349.0
332,3008000,2002,272.0
333,3009000,2002,507.0
334,3010000,2002,521.0
335,3011000,2002,321.0
336,3012000,2002,399.0
337,3013000,2002,215.0
338,3014000,2002,182.0
339,3015000,2002,335.0
340,3016000,2002,226.0
341,3017000,2002,763.0
342,3018000,2002,359.0
343,3019000,2002,317.0
344,3020000,2002,320.0
345,3021000,2002,1002.0
346,3022000,2002,295.0
347,3023000,2002,251.0
348,3024000,2002,373.0
349,3025000,2002,205.0
350,3026000,2002,232.0
351,3027000,2002,377.0
352,3028000,2002,185.0
353,3029000,2002,264.0
354,3030000,2002,329.0
355,3031000,2002,154.0
356,3061000,2002,513.0
357,3062000,2002,222.0
358,3063000,2002,235.0
359,3064000,2002,2615.0
360,3201000,2002,247.0
361,3202000,2002,206.0
362,3203000,2002,242.0
363,3204000,2002,308.0
364,3205000,2002,308.0
365,3206000,2002,322.0
366,3207000,2002,213.0
367,3208000,2002,212.0
368,3209000,2002,237.0
369,3210000,2002,286.0
370,3211000,2002,166.0
371,3212000,2002,177.0
372,3213000,2002,229.0
373,3214000,2002,416.0
374,3215000,2002,337.0
375,3216000,2002,201.0
376,3217000,2002,254.0
377,3218000,2002,168.0
378,3261000,2002,370.0
379,3262000,2002,1786.0
380,3263000,2002,155.0
381,201000,2003,284.0
382,202000,2003,522.0
383,203000,2003,311.0
384,204000,2003,191.0
385,205000,2003,243.0
386,206000,2003,270.0
387,207000,2003,204.0
388,208000,2003,922.0
389,209000,2003,283.0
390,210000,2003,267.0
391,211000,2003,320.0
392,212000,2003,221.0
393,213000,2003,173.0
394,214000,2003,450.0
395,215000,2003,310.0
396,216000,2003,203.0
397,217000,2003,228.0
398,218000,2003,240.0
399,219000,2003,758.0
400,220000,2003,352.0
401,221000,2003,1029.0
402,222000,2003,283.0
403,223000,2003,435.0
404,224000,2003,441.0
405,225000,2003,375.0
406,226000,2003,218.0
407,261000,2003,335.0
408,262000,2003,428.0
409,263000,2003,
410,264000,2003,2898.0
411,265000,2003,
412,401000,2003,322.0
413,402000,2003,324.0
414,403000,2003,321.0
415,404000,2003,216.0
416,405000,2003,202.0
417,406000,2003,193.0
418,407000,2003,728.0
419,408000,2003,302.0
420,409000,2003,241.0
421,410000,2003,388.0
422,411000,2003,236.0
423,412000,2003,227.0
424,413000,2003,178.0
425,414000,2003,475.0
