,NR,WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ADRES,lats,lngs
189,190,POMORSKIE,Pm.polpharma.01.a,PmStaGdaLubi,POLPHARMA Starogard Gdański - Lubichowska,Starogard Gdański,ul. Lubichowska,53.9509598,18.5147796
190,191,POMORSKIE,Pm.a07a,PmTczeTarg07,AM7 Tczew,Tczew,ul. Targowa,54.0821651,18.7861401
191,192,POMORSKIE,Pm.15.s129m,PmWejhPlWejh,WIOŚ Wejherowo - Jakuba Wejhera,Wejherowo,pl. Jakuba Wejhera 8,54.6013459,18.2395489
192,193,POMORSKIE,Pm11WLADw07m,PmWladywHallera,WIOŚ Władysławowo - Hallera,Władysławowo,ul. Hallera,54.7940931,18.4058827
193,194,ŚWIĘTOKRZYSKIE,SkBuskoWios2,SkBuskRokosz,"WIOŚ, Busko zdrój, ul. Rokosza",Busko-Zdrój,ul. Rokosza 1,50.4558522,20.7161368
194,195,ŚWIĘTOKRZYSKIE,SkKielJagielWios,SkKielJagiel,"WIOS Kielce, ul. Jagiellońska",Kielce,ul. Jagiellońska 68,50.8723677,20.6052212
195,196,ŚWIĘTOKRZYSKIE,SkKielKusoc,SkKielKusoci,"WIOŚ Kielce, ul. Kusocińskiego",Kielce,ul. Kusocińskiego 51,50.852067,20.6057875
196,197,ŚWIĘTOKRZYSKIE,SkMalogCemen3,SkMalo11List,"Małogoszcz, ul. 11 Listopada",Małogoszcz,ul. 11 Listopada,50.80859,20.269197
197,198,ŚWIĘTOKRZYSKIE,SkNowinyCemen2,SkNowiParkow,"Nowiny, ul. Parkowa",Nowiny,ul. Parkowa,50.8245564,20.5312382
198,199,ŚWIĘTOKRZYSKIE,SkOzarowOsWz52,SkOzarOsWzgo,Ożarów Os. Wzgórze 52,Ożarów,os. Wzgórze 52,50.8872824,21.6595567
199,200,ŚWIĘTOKRZYSKIE,SkPolanRuszcz,SkPolaRuszcz,"Połaniec, ul. Ruszczańska",Połaniec,ul. Ruszczańska 23,50.4299448,21.2779241
