,Wojewodztwo,ICD10,Rok,Liczba
327,2,C19,2003,36
328,2,C19,2004,36
329,2,C19,2005,36
330,2,C19,2006,36
331,2,C19,2007,36
332,2,C19,2008,36
333,2,C19,2009,36
334,2,C19,2010,36
335,2,C19,2011,36
336,2,C19,2012,36
337,2,C19,2013,17
338,2,C19,2014,36
339,2,C19,2015,36
340,2,C20,1999,36
341,2,C20,2000,36
342,2,C20,2001,36
343,2,C20,2002,36
344,2,C20,2003,36
345,2,C20,2004,36
346,2,C20,2005,36
347,2,C20,2006,36
348,2,C20,2007,36
349,2,C20,2008,36
350,2,C20,2009,36
351,2,C20,2010,36
352,2,C20,2011,36
353,2,C20,2012,36
354,2,C20,2013,23
355,2,C20,2014,36
356,2,C20,2015,36
357,2,C21,1999,36
358,2,C21,2000,36
359,2,C21,2001,36
360,2,C21,2002,36
361,2,C21,2003,36
362,2,C21,2004,36
363,2,C21,2005,36
364,2,C21,2006,36
365,2,C21,2007,36
366,2,C21,2008,36
367,2,C21,2009,36
368,2,C21,2010,36
369,2,C21,2011,36
370,2,C21,2012,36
371,2,C21,2013,11
372,2,C21,2014,36
373,2,C21,2015,36
374,2,C22,1999,36
375,2,C22,2000,36
376,2,C22,2001,36
377,2,C22,2002,36
378,2,C22,2003,36
379,2,C22,2004,36
380,2,C22,2005,36
381,2,C22,2006,36
382,2,C22,2007,36
383,2,C22,2008,36
384,2,C22,2009,36
385,2,C22,2010,36
386,2,C22,2011,36
387,2,C22,2012,36
388,2,C22,2013,20
389,2,C22,2014,36
390,2,C22,2015,36
391,2,C23,1999,36
392,2,C23,2000,36
393,2,C23,2001,36
394,2,C23,2002,36
395,2,C23,2003,36
396,2,C23,2004,36
397,2,C23,2005,36
398,2,C23,2006,36
399,2,C23,2007,36
400,2,C23,2008,36
401,2,C23,2009,36
402,2,C23,2010,36
403,2,C23,2011,36
404,2,C23,2012,36
405,2,C23,2013,16
406,2,C23,2014,36
407,2,C23,2015,36
408,2,C24,1999,36
409,2,C24,2000,36
410,2,C24,2001,36
411,2,C24,2002,36
412,2,C24,2003,36
413,2,C24,2004,36
414,2,C24,2005,36
415,2,C24,2006,36
416,2,C24,2007,36
417,2,C24,2008,36
418,2,C24,2009,36
419,2,C24,2010,36
420,2,C24,2011,36
421,2,C24,2012,36
422,2,C24,2013,17
423,2,C24,2014,36
424,2,C24,2015,36
425,2,C25,1999,36
426,2,C25,2000,36
427,2,C25,2001,36
428,2,C25,2002,36
429,2,C25,2003,36
430,2,C25,2004,36
431,2,C25,2005,36
432,2,C25,2006,36
433,2,C25,2007,36
434,2,C25,2008,36
435,2,C25,2009,36
436,2,C25,2010,36
437,2,C25,2011,36
438,2,C25,2012,36
439,2,C25,2013,23
440,2,C25,2014,36
441,2,C25,2015,36
442,2,C26,1999,36
443,2,C26,2000,36
444,2,C26,2001,36
445,2,C26,2002,36
446,2,C26,2003,36
447,2,C26,2004,36
448,2,C26,2005,36
449,2,C26,2006,36
450,2,C26,2007,36
451,2,C26,2008,36
452,2,C26,2009,36
453,2,C26,2010,36
454,2,C26,2011,36
455,2,C26,2012,36
456,2,C26,2013,10
457,2,C26,2014,36
458,2,C26,2015,36
459,2,C30,1999,36
460,2,C30,2000,36
461,2,C30,2001,36
462,2,C30,2002,36
463,2,C30,2003,36
464,2,C30,2004,36
465,2,C30,2005,36
466,2,C30,2006,36
467,2,C30,2007,36
468,2,C30,2008,36
469,2,C30,2009,36
470,2,C30,2010,36
471,2,C30,2011,36
472,2,C30,2012,36
473,2,C30,2013,5
474,2,C30,2014,36
475,2,C30,2015,36
476,2,C31,1999,36
477,2,C31,2000,36
478,2,C31,2001,36
479,2,C31,2002,18
