Kod,Date,Value
411000,2012,"0,5"
412000,2012,"0,0"
413000,2012,"3,1"
414000,2012,"1,2"
415000,2012,"8,6"
416000,2012,"1,7"
417000,2012,"0,5"
418000,2012,"0,5"
419000,2012,"0,9"
461000,2012,"1,9"
462000,2012,"3,7"
463000,2012,"3,3"
464000,2012,"3,2"
601000,2012,"3,0"
602000,2012,"0,9"
603000,2012,"0,4"
604000,2012,"0,3"
605000,2012,"0,3"
606000,2012,"0,1"
607000,2012,"0,8"
608000,2012,"0,5"
609000,2012,"0,1"
610000,2012,"1,2"
611000,2012,"1,1"
612000,2012,"0,1"
613000,2012,"0,0"
614000,2012,"2,7"
615000,2012,"1,0"
616000,2012,"2,2"
617000,2012,"0,6"
618000,2012,"3,5"
619000,2012,"1,9"
620000,2012,"0,2"
661000,2012,"1,1"
662000,2012,"0,9"
663000,2012,"1,9"
664000,2012,"4,4"
801000,2012,"10,3"
802000,2012,"5,3"
803000,2012,"2,3"
804000,2012,"4,9"
805000,2012,"4,3"
806000,2012,"3,1"
807000,2012,"6,6"
808000,2012,"1,8"
809000,2012,"2,9"
810000,2012,"1,1"
811000,2012,"4,4"
812000,2012,"0,5"
861000,2012,"1,6"
862000,2012,"3,3"
1001000,2012,"8,4"
1002000,2012,"1,7"
1003000,2012,"1,8"
1004000,2012,"0,0"
1005000,2012,"0,3"
1006000,2012,"2,1"
1007000,2012,"1,1"
1008000,2012,"0,9"
1009000,2012,"2,0"
1010000,2012,"0,1"
1011000,2012,"2,5"
1012000,2012,"0,3"
1013000,2012,"0,0"
1014000,2012,"0,5"
1015000,2012,"1,3"
1016000,2012,"0,9"
1017000,2012,"1,1"
1018000,2012,"2,6"
1019000,2012,"4,7"
1020000,2012,"0,4"
1021000,2012,"0,0"
1061000,2012,"1,1"
1062000,2012,"2,6"
1063000,2012,"3,5"
1201000,2012,"0,3"
1202000,2012,"0,0"
1203000,2012,"0,2"
1204000,2012,"0,0"
1205000,2012,"0,0"
1206000,2012,"0,0"
1208000,2012,"0,1"
1209000,2012,"0,1"
1210000,2012,"0,1"
1211000,2012,"0,5"
1212000,2012,"0,0"
1213000,2012,"1,3"
1214000,2012,"0,0"
1215000,2012,"0,2"
1216000,2012,"0,2"
1217000,2012,"0,2"
1218000,2012,"0,1"
1219000,2012,"0,6"
1261000,2012,"1,8"
1262000,2012,"0,8"
1263000,2012,"4,7"
1401000,2012,"1,4"
1402000,2012,"0,8"
1403000,2012,"0,6"
1404000,2012,"2,4"
1405000,2012,"0,7"
1406000,2012,"0,5"
1407000,2012,"0,8"
1408000,2012,"1,5"
1409000,2012,"0,0"
1410000,2012,"0,0"
1411000,2012,"0,4"
1412000,2012,"0,7"
1413000,2012,"1,9"
1414000,2012,"3,7"
1415000,2012,"6,5"
1416000,2012,"6,7"
1417000,2012,"2,1"
1418000,2012,"1,0"
1419000,2012,"1,9"
1420000,2012,"1,3"
1421000,2012,"0,9"
1422000,2012,"2,6"
1423000,2012,"0,4"
1424000,2012,"0,0"
1425000,2012,"1,0"
1426000,2012,"1,6"
1427000,2012,"0,1"
1428000,2012,"1,3"
1429000,2012,"0,7"
1430000,2012,"0,0"
1432000,2012,"2,2"
1433000,2012,"1,4"
1434000,2012,"0,9"
1435000,2012,"2,7"
1436000,2012,"0,4"
1437000,2012,"1,7"
1438000,2012,"0,9"
1461000,2012,"3,0"
1462000,2012,"1,0"
1463000,2012,"1,6"
1464000,2012,"3,5"
1465000,2012,"1,9"
1601000,2012,"0,2"
1602000,2012,"0,0"
1603000,2012,"1,8"
1604000,2012,"0,6"
1605000,2012,"7,8"
1606000,2012,"0,7"
1607000,2012,"4,8"
1608000,2012,"0,4"
1609000,2012,"1,9"
1610000,2012,"2,3"
1611000,2012,"9,9"
1661000,2012,"2,7"
1802000,2012,"0,0"
1803000,2012,"3,1"
1804000,2012,"0,0"
1805000,2012,"0,0"
1806000,2012,"9,3"
1808000,2012,"0,5"
1809000,2012,"1,2"
